Province	Wave	n	Population_size	n_per_100000
Ubon Ratchathani	2nd wave	4	1866697	0.214282232199441
Ubon Ratchathani	3rd wave	639	1866697	34.2315865938607
Ubon Ratchathani	4th wave	24106	1866697	1291.37187234993
Ubon Ratchathani	5th wave	40095	1866697	2147.91152500915
Udon Thani	1st wave	10	1567983	0.637762016552475
Udon Thani	2nd wave	1	1567983	0.0637762016552475
Udon Thani	3rd wave	805	1567983	51.3398423324743
Udon Thani	4th wave	25719	1567983	1640.26013037131
Udon Thani	5th wave	29040	1567983	1852.06089606839
Uthai Thani	1st wave	1	325868	0.306872721470043
Uthai Thani	2nd wave	NA	NA	NA
Uthai Thani	3rd wave	119	325868	36.5178538549351
Uthai Thani	4th wave	3810	325868	1169.18506880086
Uthai Thani	5th wave	10939	325868	3356.8807001608
Uttaradit	1st wave	3	448745	0.668531125694994
Uttaradit	2nd wave	3	448745	0.668531125694994
Uttaradit	3rd wave	188	448745	41.8946172102196
Uttaradit	4th wave	4456	448745	992.991565365631
Uttaradit	5th wave	8806	448745	1962.36169762337
Yala	1st wave	134	538602	24.8792243623306
Yala	2nd wave	7	538602	1.2996609741516
Yala	3rd wave	2645	538602	491.086182375855
Yala	4th wave	46079	538602	8555.29686113308
Yala	5th wave	9788	538602	1817.29737357084
Yasothon	1st wave	1	534500	0.187090739008419
Yasothon	2nd wave	NA	NA	NA
Yasothon	3rd wave	212	534500	39.6632366697848
Yasothon	4th wave	6041	534500	1130.21515434986
Yasothon	5th wave	13932	534500	2606.54817586529
